id,article,link,alias,feedbackSelection,feedbackInput
110,https://en.wikipedia.org/wiki/Araneta_Coliseum,http://www.philstar.com/sportsarticle.aspx?articleid=708020&publicationsubcategoryid=69,https://www.philstar.com/balita/2011/07/21/708020/molapas-sa-jaywalking-multa-p1000,Incorrect,
111,https://en.wikipedia.org/wiki/Carli_de_Murga,http://www.philstar.com/sportsarticle.aspx?publicationsubcategoryid=200&articleid=787856,https://www.philstar.com/balita/2012/03/18/787856/tanod-namadlong-gikulata,Incorrect,
112,https://en.wikipedia.org/wiki/PMI_Colleges,http://www.philstar.com/Article.aspx?articleId=241643,https://www.philstar.com/headlines/2004/03/07/241643/palace-insists-appointment-2-comelec-officials-legal,Incorrect,
113,https://en.wikipedia.org/wiki/2003_Isabela%27s_4th_congressional_district_special_election,http://www.philstar.com/Article.aspx?articleId=196998&publicationSubCategoryId=63,https://www.philstar.com/business/science-and-environment/2003/02/27/196998/new-anti-cholesterol-drug-market,Incorrect,
114,https://en.wikipedia.org/wiki/2013_PBA_draft,http://www.philstar.com/sportsarticle.aspx?publicationsubcategoryid=69&articleid=685951&keyword=sp_pba,https://www.philstar.com/metro-cebu/2011/05/15/685951/consolacion-officials-urge-police-crack-rob-murder-cases,Incorrect,
115,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Eminem,http://www.philstar.com/Article.aspx?articleId=191307,http://www.philstar.com/nation/2003/01/13/191307/huge-npa-camp-found-aurora-ecija-border,Incorrect,
116,https://en.wikipedia.org/wiki/Bobby_Parks,http://www.philstar.com/sportsarticle.aspx?publicationsubcategoryid=69&articleid=823200&keyword=sp_pba,https://www.philstar.com/headlines/2012/07/01/823200/mindanaos-banana-magnate-dies-pneumonia,Incorrect,
117,https://en.wikipedia.org/wiki/Mau_Marcelo,http://www.philstar.com/archives.php?aid=291957&type=1,https://www.philstar.com/business/2005/08/17/291957/lepanto-okays-p850-m-stock-rights-offering,Incorrect,
118,https://en.wikipedia.org/wiki/Malvar_station,http://www.philstar.com/Article.aspx?articleid=432611,https://www.philstar.com/kalingawan/2009/01/19/432611/sukli-sa-utang,Incorrect,
119,https://en.wikipedia.org/wiki/Braulio_Yaranon,http://www.philstar.com/ArticlePrinterFriendly.aspx?articleId=979,https://www.philstar.com/headlines/2007/05/20/979/prostate-cancer-drugs-linked-higher-diabetes-chd-risk,Incorrect,
120,https://en.wikipedia.org/wiki/Pira-pirasong_Pangarap,http://www.philstar.com/Article.aspx?articleId=92151,http://www.philstar.com/entertainment/2000/10/10/92151/why-veronica-went-back-cnn-funfare-ricardo-f-lo,Incorrect,
121,https://en.wikipedia.org/wiki/Gian_Magdangal,http://www.philstar.com/archives.php?aid=300886&type=1,https://www.philstar.com/entertainment/2005/10/09/300886/having-ball-bubble-gang,Incorrect,
122,https://en.wikipedia.org/wiki/2008%E2%80%9309_Boston_Celtics_season,http://www.philstar.com/Article.aspx?articleId=442842&publicationSubCategoryId=200,https://www.philstar.com/opinyon/2009/02/25/442842/editoryal-nangapaig-ang-mga-tsinelas,Incorrect,
123,https://en.wikipedia.org/wiki/2011_Cagayan%27s_2nd_congressional_district_special_election,http://www.philstar.com/Article.aspx?articleId=665223&publicationSubCategoryId=67,https://www.philstar.com/metro/2011/03/13/665223/2-kelot-sinalvage-sa-quiapo,Incorrect,
124,https://en.wikipedia.org/wiki/2010%E2%80%932011_Philippine_floods,http://www.philstar.com/Article.aspx?articleId=650755&publicationSubCategoryId=200,https://www.philstar.com/probinsiya/2011/01/25/650755/guro-tiklo-sa-pagnanakaw,Incorrect,
